Product_ID,Transaction_ID,Purchase_Freq,Avg_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Customer_Age_Days,High_Value_Customer
PROD_IK97D1,TRANS_II1DZG,17,172.57,Electronics,45,south america,0.98,952.81,2020-03-14,2023-09-11,Winter,Afternoon,Loyalty Program,2201,0
PROD_UNN7KP,TRANS_9HJF7I,10,64.89,Clothing,6,south america,0.66,5427.51,2022-10-15,2023-01-02,Spring,Afternoon,Discount,1256,1
PROD_0XEW2W,TRANS_OT96OM,3,120.38,Sports,23,asia,0.6,3994.8,2021-11-30,2023-04-06,Winter,Evening,Loyalty Program,1575,0
PROD_3IIAJN,TRANS_45V00G,12,70.34,Clothing,5,north america,0.78,4880.01,2022-03-20,2023-03-23,Spring,Evening,Discount,1465,0
PROD_VMIWD2,TRANS_ZAK760,18,42.39,Electronics,10,north america,0.52,8557.7,2022-11-09,2023-10-28,Spring,Morning,Discount,1231,1
PROD_L0NAD5,TRANS_HI4MBV,12,132.9,Electronics,42,europe,0.25,8215.33,2020-12-26,2023-12-09,Winter,Evening,Loyalty Program,1914,1
PROD_CVVCB0,TRANS_X0MXCI,16,128.43,Clothing,38,europe,0.94,7031.07,2022-03-15,2023-09-06,Summer,Afternoon,Email Campaign,1470,1
PROD_PVOV5L,TRANS_9B8B46,10,67.52,Electronics,56,asia,0.56,5167.16,2021-02-17,2023-06-12,Summer,Afternoon,Discount,1861,1
PROD_MG36BV,TRANS_AZ1OW8,7,165.26,Electronics,73,europe,0.17,9943.51,2021-03-28,2023-02-05,Winter,Evening,Loyalty Program,1822,1
PROD_DKK6UZ,TRANS_AC3353,6,52.86,Home,60,north america,0.59,9978.11,2021-08-16,2023-10-06,Winter,Evening,Loyalty Program,1681,1
PROD_ALVKE7,TRANS_IH0DSW,8,138.72,Electronics,88,europe,0.45,2758.76,2020-03-22,2023-08-05,Fall,Morning,Loyalty Program,2193,0
PROD_K192VJ,TRANS_HEH3CY,13,54.53,Electronics,53,asia,0.73,9395.6,2021-07-29,2023-12-26,Fall,Morning,Email Campaign,1699,1
PROD_2Y2RID,TRANS_6G3IVM,5,172.68,Electronics,23,europe,0.86,6589.81,2021-08-05,2023-04-11,Spring,Afternoon,Email Campaign,1692,1
PROD_M35YA3,TRANS_QHURYI,18,30.56,Clothing,83,north america,0.55,1005.72,2021-05-15,2023-11-28,Summer,Morning,Loyalty Program,1774,0
PROD_ELE4RZ,TRANS_W2RL1O,18,95.85,Electronics,13,asia,0.34,6299.37,2020-08-05,2023-08-06,Spring,Morning,Discount,2057,1
PROD_IBLABI,TRANS_Y8I3QE,10,108.6,Home,7,europe,0.89,7317.6,2021-02-13,2023-10-25,Summer,Morning,Loyalty Program,1865,1
PROD_P2DMGE,TRANS_29D2I2,10,139.31,Sports,78,asia,0.78,6578.3,2022-02-05,2023-11-29,Winter,Evening,Email Campaign,1508,1
PROD_JLOC27,TRANS_X42QD9,3,141.64,Home,24,north america,0.2,5902.92,2020-06-04,2023-04-15,Spring,Evening,Email Campaign,2119,1
PROD_2EQ5LO,TRANS_T73AG3,18,39.17,Clothing,63,north america,0.69,5264.38,2022-01-09,2023-10-15,Fall,Evening,Loyalty Program,1535,1
PROD_XFBU9X,TRANS_S38KSO,18,139.37,Sports,69,south america,0.42,9127.85,2022-03-30,2023-07-08,Winter,Evening,Loyalty Program,1455,1
PROD_2E3MNX,TRANS_O6PCG7,17,105.73,Sports,36,north america,0.66,194.59,2020-04-27,2023-03-16,Spring,Afternoon,Email Campaign,2157,0
PROD_R1Y19O,TRANS_38FJVY,14,93.03,Sports,53,north america,0.78,3845.95,2021-03-12,2023-05-23,Summer,Evening,Email Campaign,1838,0
PROD_R6QGPV,TRANS_XB0SUN,16,166.36,Home,83,asia,0.88,5125.94,2021-03-05,2023-02-07,Winter,Morning,Email Campaign,1845,1
PROD_KCO2XQ,TRANS_N2ZWKU,11,106.34,Home,41,north america,0.17,627.2,2020-03-20,2023-11-04,Winter,Evening,Loyalty Program,2195,0
PROD_V9G363,TRANS_19AA2Z,19,58.13,Home,39,europe,0.83,1794.11,2020-04-11,2023-09-27,Summer,Evening,Discount,2173,0
PROD_VWJAW6,TRANS_5QZIZO,9,100.65,Electronics,29,north america,0.82,9709.29,2021-07-11,2023-08-03,Fall,Evening,Email Campaign,1717,1
PROD_LLJO26,TRANS_BN90ZR,11,138.91,Electronics,36,south america,0.45,1699.1,2022-10-31,2023-04-20,Fall,Evening,Email Campaign,1240,0
PROD_A0GGZN,TRANS_XZMA7R,4,179.37,Home,12,europe,0.28,3526.92,2021-11-16,2023-04-19,Summer,Evening,Discount,1589,0
PROD_9FP1KM,TRANS_2REXOG,18,47.25,Clothing,54,europe,0.55,3666.4,2020-11-03,2023-06-07,Fall,Afternoon,Email Campaign,1967,0
PROD_DNB9HU,TRANS_4IYIU0,7,165.36,Home,12,asia,0.76,2028.94,2022-09-30,2023-09-24,Winter,Evening,Discount,1271,0
PROD_67CKAZ,TRANS_21LPF7,13,169.44,Electronics,31,south america,0.36,4558.4,2022-11-01,2023-01-29,Spring,Evening,Loyalty Program,1239,0
PROD_0VHFS7,TRANS_9AIGGW,1,138.29,Electronics,66,asia,0.27,2053.08,2020-09-30,2023-05-18,Summer,Afternoon,Email Campaign,2001,0
PROD_SMVS94,TRANS_7Y5D04,12,101.33,Sports,87,north america,0.95,3860.4,2022-06-09,2023-04-14,Summer,Afternoon,Discount,1384,0
PROD_85FXS1,TRANS_CF2UIG,2,51.68,Clothing,37,south america,0.27,7406.47,2022-03-26,2023-03-14,Winter,Evening,Discount,1459,1
PROD_SFPDI5,TRANS_I69T9V,14,48.23,Home,69,south america,0.46,933.63,2020-12-12,2023-01-22,Winter,Evening,Email Campaign,1928,0
PROD_AYJHII,TRANS_QODMWY,19,58.92,Sports,50,south america,0.97,6527.21,2021-03-24,2023-11-07,Fall,Evening,Discount,1826,1
PROD_QRJOQQ,TRANS_X1J6WF,5,37.72,Sports,79,asia,0.16,9937.12,2022-08-14,2023-10-12,Winter,Afternoon,Loyalty Program,1318,1
PROD_4XTTVE,TRANS_XROLFW,2,61.25,Electronics,10,north america,0.98,3585.45,2021-03-01,2023-08-25,Fall,Afternoon,Email Campaign,1849,0
PROD_JSTXXZ,TRANS_6QAZQ4,9,46.48,Clothing,39,north america,0.59,6308.82,2021-11-09,2023-11-24,Fall,Evening,Discount,1596,1
PROD_38AOV5,TRANS_YH9TT9,19,23.99,Sports,17,south america,0.93,4860.19,2020-08-23,2023-05-22,Summer,Afternoon,Discount,2039,0
PROD_IS1C0S,TRANS_XHU7MO,4,182.98,Clothing,59,europe,0.94,4384.96,2020-11-10,2023-01-02,Fall,Evening,Email Campaign,1960,0
PROD_0SQDEQ,TRANS_21805X,5,99.78,Home,52,north america,0.44,3917.09,2020-10-29,2023-06-18,Winter,Evening,Email Campaign,1972,0
PROD_9Y47SE,TRANS_URXRPO,2,144.04,Electronics,78,europe,0.11,6457.94,2021-03-20,2023-01-28,Summer,Evening,Email Campaign,1830,1
